time_period,time_identifier,geographic_level,country_code,country_name,institution_group,institution_type,cohort_level_group,cohort_level,characteristic_group,characteristic,data_type,version,inst_count,cohort,overall,education,he,fe,fel3,fel2,fel1,other_edu,ind,non_des,ssf,sfc,spec_prov,edu_combo,appren,appl4,appl3,appl2,all_work,all_notsust,notsust,notsust_ben,only_ben,all_unknown,unknown_id,unknown
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Major,Mixed Dual background,Percentage,Revised,z,4890,86.8,68.7,56.5,8.1,z,z,z,4.2,0,0,4,0.1,0,~,2,0,0.8,1.2,16.1,9.5,3.6,4.3,1.5,3.7,3.1,0.7
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Major,Asian or Asian British,Percentage,Revised,z,14988,87.5,78.2,68.8,4.1,z,z,z,5.3,0,0,5.1,0.1,0,~,1.2,~,0.5,0.7,8.1,8.3,3,3.2,2.1,4.2,3.5,0.7
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Major,Any other ethnic group,Percentage,Revised,z,3182,85.9,77.7,67.1,5.5,z,z,z,5,0,0,4.8,0.1,0,0.1,0.8,0,0.5,0.3,7.4,6.7,3.3,1.9,1.4,7.5,5.5,1.9
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Major,Unclassified,Percentage,Revised,z,1951,81.5,59.7,50.7,5.4,z,z,z,3.5,0,0,3.5,0.1,0,0,1.7,0,0.7,1.1,20.1,8.5,4.5,2.8,1.2,10,4.9,5.2
201011,Academic year,National,E92000001,England,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Traveller of Irish Heritage,Number of pupils,Revised,z,6,5,2,1,1,z,z,z,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,0,0,0
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Major,White,Number of pupils,Revised,z,131455,117889,84963,70662,9391,z,z,z,4917,0,0,4771,111,0,35,4261,50,1613,2598,28665,10762,4654,4599,1509,2804,2267,537
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Major,Mixed Dual background,Number of pupils,Revised,z,4890,4244,3358,2762,394,z,z,z,203,0,0,195,6,0,2,97,0,40,57,789,463,177,212,74,183,150,33
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Major,Asian or Asian British,Number of pupils,Revised,z,14988,13110,11714,10311,616,z,z,z,787,0,0,771,13,0,3,184,3,78,103,1212,1243,450,476,317,635,529,106
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Major,Any other ethnic group,Number of pupils,Revised,z,3182,2732,2471,2135,176,z,z,z,160,0,0,154,4,0,2,26,0,16,10,235,212,106,60,46,238,176,62
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Major,Unclassified,Number of pupils,Revised,z,1951,1590,1164,989,106,z,z,z,69,0,0,68,1,0,0,34,0,13,21,392,165,87,55,23,196,95,101
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Minor,Bangladeshi,Number of pupils,Revised,z,1552,1333,1187,1045,49,z,z,z,93,0,0,92,1,0,0,22,1,10,11,124,163,43,72,48,56,37,19
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Minor,Any other Black background,Number of pupils,Revised,z,638,553,466,384,53,z,z,z,30,0,0,29,0,0,1,8,0,3,5,79,50,16,22,12,35,26,9
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Minor,Unclassified,Number of pupils,Revised,z,1951,1590,1164,989,106,z,z,z,69,0,0,68,1,0,0,34,0,13,21,392,165,87,55,23,196,95,101
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,White Irish,Number of pupils,Revised,z,1213,1054,768,624,103,z,z,z,41,0,0,35,6,0,0,26,0,11,15,260,122,50,55,17,37,28,9
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Minor,Black Caribbean,Number of pupils,Revised,z,1616,1405,1155,940,139,z,z,z,77,0,0,74,2,0,1,51,0,18,33,199,167,44,83,40,44,33,11
201011,Academic year,National,E92000001,England,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,White and Black African,Number of pupils,Revised,z,355,301,222,164,47,z,z,z,11,0,0,1,10,0,0,11,0,5,6,68,42,15,21,6,12,10,2
201011,Academic year,National,E92000001,England,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Number of pupils,Revised,z,17284,13533,9756,6962,2406,z,z,z,388,0,0,29,356,0,3,542,6,200,336,3235,3212,488,1738,986,539,353,186
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Unclassified,Percentage,Revised,z,18092,72.9,50.8,39.4,9.5,z,z,z,2,0,0,0.5,1.5,0,~,2.2,~,1.1,1.1,19.9,11.4,4.5,4.7,2.2,15.7,3.8,11.9
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Major,Mixed Dual background,Percentage,Revised,z,8328,85.8,65.3,51.6,10.2,z,z,z,3.5,0,0,2.5,1,0,~,2.5,~,1,1.6,18,10.9,3.6,5.3,2,3.3,2.7,0.6
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,White and Black African,Percentage,Revised,z,795,86.3,66.8,52.8,9.9,z,z,z,4,0,0,2.6,1.4,0,0,2.4,0,0.8,1.6,17.1,10.3,3,5.3,2,3.4,2.8,0.6
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Pakistani,Percentage,Revised,z,7509,84.9,75.9,61.9,8.3,z,z,z,5.7,0,0,3.4,2.3,0,0.1,1.4,~,0.7,0.8,7.6,10.7,3.1,4.6,3,4.4,3.7,0.8
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Black Caribbean,Percentage,Revised,z,3561,85.1,69.3,53.2,12.7,z,z,z,3.5,0,0,2.2,1.1,0,0.1,3.2,0,1.4,1.8,12.6,12.5,2.9,6.2,3.4,2.4,2,0.4
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Any other Black background,Percentage,Revised,z,1252,86.6,72.3,56.8,11.6,z,z,z,4,0,0,2.4,1.5,0,0.1,2,0,1,1,12.3,9.1,2.6,4.5,2.1,4.3,3,1.4
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,White and Black Caribbean,Percentage,Revised,z,2416,85.7,61.7,46.8,11.3,z,z,z,3.6,0,0,2.7,0.9,0,0.1,3.6,0,1.5,2.1,20.4,12,2.6,6.7,2.8,2.3,1.7,0.6
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Indian,Percentage,Revised,z,9874,89.9,80,70,5.8,z,z,z,4.2,0,0,3,1.1,0,~,1.3,~,0.6,0.7,8.5,7,2.5,2.8,1.7,3.2,2.8,0.3
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Minor,Bangladeshi,Percentage,Revised,z,1552,85.9,76.5,67.3,3.2,z,z,z,6,0,0,5.9,0.1,0,0,1.4,0.1,0.6,0.7,8,10.5,2.8,4.6,3.1,3.6,2.4,1.2
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Minor,Any other Black background,Percentage,Revised,z,638,86.7,73,60.2,8.3,z,z,z,4.7,0,0,4.5,0,0,0.2,1.3,0,0.5,0.8,12.4,7.8,2.5,3.4,1.9,5.5,4.1,1.4
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Minor,Unclassified,Percentage,Revised,z,1951,81.5,59.7,50.7,5.4,z,z,z,3.5,0,0,3.5,0.1,0,0,1.7,0,0.7,1.1,20.1,8.5,4.5,2.8,1.2,10,4.9,5.2
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,White Irish,Percentage,Revised,z,1213,86.9,63.3,51.4,8.5,z,z,z,3.4,0,0,2.9,0.5,0,0,2.1,0,0.9,1.2,21.4,10.1,4.1,4.5,1.4,3.1,2.3,0.7
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Minor,Black Caribbean,Percentage,Revised,z,1616,86.9,71.5,58.2,8.6,z,z,z,4.8,0,0,4.6,0.1,0,0.1,3.2,0,1.1,2,12.3,10.3,2.7,5.1,2.5,2.7,2,0.7
201011,Academic year,National,E92000001,England,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,White and Black African,Percentage,Revised,z,355,84.8,62.5,46.2,13.2,z,z,z,3.1,0,0,0.3,2.8,0,0,3.1,0,1.4,1.7,19.2,11.8,4.2,5.9,1.7,3.4,2.8,0.6
201011,Academic year,National,E92000001,England,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Percentage,Revised,z,17284,78.3,56.4,40.3,13.9,z,z,z,2.2,0,0,0.2,2.1,0,~,3.1,~,1.2,1.9,18.7,18.6,2.8,10.1,5.7,3.1,2,1.1
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Unclassified,Number of pupils,Revised,z,18092,13188,9193,7120,1710,z,z,z,363,0,0,82,278,0,3,403,6,190,207,3592,2061,821,847,393,2843,684,2159
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Major,Mixed Dual background,Number of pupils,Revised,z,8328,7147,5437,4295,851,z,z,z,292,0,0,207,82,0,3,212,1,81,130,1498,908,301,443,164,273,223,50
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,White and Black African,Number of pupils,Revised,z,795,686,531,420,79,z,z,z,32,0,0,21,11,0,0,19,0,6,13,136,82,24,42,16,27,22,5
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Pakistani,Number of pupils,Revised,z,7509,6372,5698,4648,620,z,z,z,430,0,0,256,170,0,4,107,1,49,57,567,803,230,346,227,334,275,59
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Black Caribbean,Number of pupils,Revised,z,3561,3030,2466,1893,451,z,z,z,123,0,0,80,40,0,3,114,0,49,65,450,445,102,222,121,86,70,16
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Any other Black background,Number of pupils,Revised,z,1252,1084,905,711,145,z,z,z,50,0,0,30,19,0,1,25,0,12,13,154,114,32,56,26,54,37,17
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,White and Black Caribbean,Number of pupils,Revised,z,2416,2070,1490,1130,272,z,z,z,88,0,0,65,21,0,2,88,0,37,51,492,290,62,161,67,56,42,14
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Indian,Number of pupils,Revised,z,9874,8872,7901,6910,577,z,z,z,414,0,0,300,112,0,2,133,2,62,69,838,689,247,276,166,313,279,34
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Number of pupils,Revised,z,27254,21926,16444,12093,3280,z,z,z,1073,0,0,687,377,0,9,820,6,299,515,4662,4512,772,2369,1371,816,547,269
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,White and Asian,Number of pupils,Revised,z,1948,1686,1322,1084,182,z,z,z,56,0,0,37,19,0,0,44,0,16,28,320,198,84,95,19,64,56,8
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Black African,Number of pupils,Revised,z,6857,5960,5361,4499,592,z,z,z,272,0,0,173,98,0,1,81,2,23,56,518,577,233,197,147,320,237,83
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Percentage,Revised,z,27254,80.5,60.3,44.4,12,z,z,z,3.9,0,0,2.5,1.4,0,~,3,~,1.1,1.9,17.1,16.6,2.8,8.7,5,3,2,1
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,White and Asian,Percentage,Revised,z,1948,86.6,67.9,55.6,9.3,z,z,z,2.9,0,0,1.9,1,0,0,2.3,0,0.8,1.4,16.4,10.2,4.3,4.9,1,3.3,2.9,0.4
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Black African,Percentage,Revised,z,6857,86.9,78.2,65.6,8.6,z,z,z,4,0,0,2.5,1.4,0,~,1.2,~,0.3,0.8,7.6,8.4,3.4,2.9,2.1,4.7,3.5,1.2
201011,Academic year,National,E92000001,England,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Black African,Number of pupils,Revised,z,3057,2648,2374,1900,378,z,z,z,96,0,0,12,84,0,0,45,2,11,32,229,271,99,105,67,138,99,39
201011,Academic year,National,E92000001,England,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Unclassified,Number of pupils,Revised,z,16141,11598,8029,6131,1604,z,z,z,294,0,0,14,277,0,3,369,6,177,186,3200,1896,734,792,370,2647,589,2058
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,White British,Number of pupils,Revised,z,264982,231864,152272,121820,23635,z,z,z,6823,0,0,4646,2099,0,78,10981,138,4774,6069,68611,27277,9114,13335,4828,5841,4358,1483
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,No identified SEN,Number of pupils,Revised,z,153038,136705,102146,86239,10079,z,z,z,5839,0,0,5667,130,0,42,4420,50,1686,2684,30139,12294,5362,5085,1847,4039,3187,852
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Minor,Pakistani,Number of pupils,Revised,z,4303,3637,3242,2779,209,z,z,z,254,0,0,247,4,0,3,59,0,26,33,336,454,150,185,119,212,172,40
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Any other mixed background,Number of pupils,Revised,z,3169,2705,2094,1661,318,z,z,z,116,0,0,84,31,0,1,61,1,22,38,550,338,131,145,62,126,103,23
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Bangladeshi,Number of pupils,Revised,z,3032,2582,2258,1912,205,z,z,z,141,0,0,98,43,0,0,63,1,23,39,261,324,79,155,90,126,86,40
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Any other ethnic group,Number of pupils,Revised,z,2997,2518,2205,1840,237,z,z,z,128,0,0,89,38,0,1,35,0,16,19,278,262,109,80,73,217,175,42
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Major,Black or Black British,Number of pupils,Revised,z,11670,10074,8732,7103,1188,z,z,z,445,0,0,283,157,0,5,220,2,84,134,1122,1136,367,475,294,460,344,116
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,Identified SEN,Number of pupils,Revised,z,9482,8130,6132,4543,1010,z,z,z,580,0,0,556,21,0,3,277,3,107,167,1721,1074,306,514,254,278,227,51
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Minor,White and Black Caribbean,Number of pupils,Revised,z,1247,1092,810,638,107,z,z,z,65,0,0,61,3,0,1,45,0,17,28,237,125,32,65,28,30,20,10
201011,Academic year,National,E92000001,England,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Black African,Percentage,Revised,z,3057,86.6,77.7,62.2,12.4,z,z,z,3.1,0,0,0.4,2.7,0,0,1.5,0.1,0.4,1,7.5,8.9,3.2,3.4,2.2,4.5,3.2,1.3
201011,Academic year,National,E92000001,England,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Unclassified,Percentage,Revised,z,16141,71.9,49.7,38,9.9,z,z,z,1.8,0,0,0.1,1.7,0,~,2.3,~,1.1,1.2,19.8,11.7,4.5,4.9,2.3,16.4,3.6,12.8
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,White British,Percentage,Revised,z,264982,87.5,57.5,46,8.9,z,z,z,2.6,0,0,1.8,0.8,0,~,4.1,0.1,1.8,2.3,25.9,10.3,3.4,5,1.8,2.2,1.6,0.6
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,No identified SEN,Percentage,Revised,z,153038,89.3,66.7,56.4,6.6,z,z,z,3.8,0,0,3.7,0.1,0,~,2.9,~,1.1,1.8,19.7,8,3.5,3.3,1.2,2.6,2.1,0.6
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Minor,Pakistani,Percentage,Revised,z,4303,84.5,75.3,64.6,4.9,z,z,z,5.9,0,0,5.7,0.1,0,0.1,1.4,0,0.6,0.8,7.8,10.6,3.5,4.3,2.8,4.9,4,0.9
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Any other mixed background,Percentage,Revised,z,3169,85.4,66.1,52.4,10,z,z,z,3.7,0,0,2.7,1,0,~,1.9,~,0.7,1.2,17.4,10.7,4.1,4.6,2,4,3.3,0.7
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Bangladeshi,Percentage,Revised,z,3032,85.2,74.5,63.1,6.8,z,z,z,4.7,0,0,3.2,1.4,0,0,2.1,~,0.8,1.3,8.6,10.7,2.6,5.1,3,4.2,2.8,1.3
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Any other ethnic group,Percentage,Revised,z,2997,84,73.6,61.4,7.9,z,z,z,4.3,0,0,3,1.3,0,~,1.2,0,0.5,0.6,9.3,8.7,3.6,2.7,2.4,7.2,5.8,1.4
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Gypsy Roma,Percentage,Revised,z,42,90.5,52.4,33.3,14.3,z,z,z,4.8,0,0,2.4,2.4,0,0,2.4,0,0,2.4,35.7,7.1,0,7.1,0,2.4,2.4,0
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Any other white background,Percentage,Revised,z,8008,84.3,65.8,52.4,9.5,z,z,z,3.9,0,0,2.8,1.1,0,~,2.1,~,0.7,1.3,16.4,10.1,4.3,3.8,1.9,5.7,4,1.6
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Major,Black or Black British,Percentage,Revised,z,11670,86.3,74.8,60.9,10.2,z,z,z,3.8,0,0,2.4,1.3,0,~,1.9,~,0.7,1.1,9.6,9.7,3.1,4.1,2.5,3.9,2.9,1
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,Identified SEN,Percentage,Revised,z,9482,85.7,64.7,47.9,10.7,z,z,z,6.1,0,0,5.9,0.2,0,~,2.9,~,1.1,1.8,18.2,11.3,3.2,5.4,2.7,2.9,2.4,0.5
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Ethnicity Minor,White and Black Caribbean,Percentage,Revised,z,1247,87.6,65,51.2,8.6,z,z,z,5.2,0,0,4.9,0.2,0,0.1,3.6,0,1.4,2.2,19,10,2.6,5.2,2.2,2.4,1.6,0.8
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Gypsy Roma,Number of pupils,Revised,z,42,38,22,14,6,z,z,z,2,0,0,1,1,0,0,1,0,0,1,15,3,0,3,0,1,1,0
201011,Academic year,National,E92000001,England,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Any other white background,Number of pupils,Revised,z,8008,6748,5266,4197,758,z,z,z,312,0,0,224,87,0,1,165,2,60,103,1317,806,343,307,156,454,324,130
201011,Academic year,National,E92000001,England,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,White and Black Caribbean,Percentage,Revised,z,1169,83.7,58.2,42.1,14.1,z,z,z,2,0,0,0.3,1.5,0,0.1,3.7,0,1.7,2,21.8,14.1,2.6,8.2,3.3,2.2,1.9,0.3
201011,Academic year,National,E92000001,England,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Pakistani,Percentage,Revised,z,3206,85.3,76.6,58.3,12.8,z,z,z,5.5,0,0,0.3,5.2,0,~,1.5,~,0.7,0.7,7.2,10.9,2.5,5,3.4,3.8,3.2,0.6
201011,Academic year,National,E92000001,England,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,White Irish,Percentage,Revised,z,417,84.2,56.6,41.7,13.4,z,z,z,1.4,0,0,0,1.4,0,0,3.1,0,2.2,1,24.5,13.4,3.1,7.9,2.4,2.4,1.2,1.2
201011,Academic year,National,E92000001,England,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Any other white background,Percentage,Revised,z,2948,84.3,63,46.4,13.7,z,z,z,2.9,0,0,0.2,2.7,0,0,2.5,~,1.2,1.3,18.9,11,3.8,5,2.2,4.7,3.6,1.2
201011,Academic year,National,E92000001,England,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,White and Black Caribbean,Number of pupils,Revised,z,1169,978,680,492,165,z,z,z,23,0,0,4,18,0,1,43,0,20,23,255,165,30,96,39,26,22,4
201011,Academic year,National,E92000001,England,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Pakistani,Number of pupils,Revised,z,3206,2735,2456,1869,411,z,z,z,176,0,0,9,166,0,1,48,1,23,24,231,349,80,161,108,122,103,19
201011,Academic year,National,E92000001,England,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,White Irish,Number of pupils,Revised,z,417,351,236,174,56,z,z,z,6,0,0,0,6,0,0,13,0,9,4,102,56,13,33,10,10,5,5
201011,Academic year,National,E92000001,England,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Ethnicity Minor,Any other white background,Number of pupils,Revised,z,2948,2485,1856,1367,403,z,z,z,86,0,0,5,81,0,0,73,1,34,38,556,324,112,146,66,139,105,34
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Total,Total,Number of pupils,Revised,1810,162520,144835,108278,90782,11089,z,z,z,6419,0,0,6223,151,0,45,4697,53,1793,2851,31860,13368,5668,5599,2101,4317,3414,903
201011,Academic year,National,E92000001,England,State-funded mainstream schools,Total,Level 3,Level 3 approved,Gender,Male,Number of pupils,Revised,z,76207,67051,49523,41898,4145,z,z,z,3483,0,0,3397,67,0,19,2611,42,1187,1382,14917,6953,2734,3047,1172,2203,1810,393
